2	0	39	0	47	; background (x1 x2 y1 y2)
8	15	25	20	30	; pastry
11	16	24	20	28	; frosting
1	0	14	19	20	; red
9	0	14	21	22	; orange
13	0	14	23	24	; yellow
12	0	14	25	26	; l. green
6	0	14	27	28	; l. blue
3	0	14	29	30	; purple
1	6	9	18	19	; red
9	6	9	20	21	; orange
13	6	9	22	23	; yellow
12	6	9	24	25	; l. green
6	6	9	26	27	; l. blue
3	6	9	28	29	; purple
2	6	9	30	31	; bg
5	21	27	23	29	; head
5	21	21	22	31	; ear/foot
5	27	27	21	28	; ear
5	11	12	24	24	; tail
5	13	14	25	25	; tail
5	13	16	30	30	; back feet
0	23	26	28	28	; mouth
15	22	22	25	26	; l eye
15	26	26	25	26	; r eye

