13	0	39	0	29	; wall
8	0	39	30	39	; monitor back
8	1	9	0	20	; window
0	2	8	0	9	; upper
15	2	8	12	18	; bottom snow
1	27	39	12	30	; fireplace
0	30	39	17	30	; hearth
8	32	38	27	29	; wood
15	26	39	10	11	; mantle
4	15	17	0	39	; tree center
4	13	19	5	39	; tree middle
4	12	20	15	39	; tree wider
4	10	22	23	39	; tree wide
7	13	16	11	12	; garland top
7	17	19	13	14	; garland top
7	12	15	23	24	; garland middle
7	16	19	25	26	; garland middle
7	20	22	27	28	; garland middle
7	10	14	36	37	; garland bottom
7	15	18	38	39	; garland bottom
1	14	15	7	9	; ball1
1	18	19	17	19	; ball2
1	11	12	31	33	; ball3
1	20	21	34	36	; ball4
13	34	36	22	26	; fire
9	35	35	24	26	; fire
0	34	35	22	22	; flicker
13	34	35	22	22	; flicker
